coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,SourceFile,price_ma7,price_ma30,volatility_7d,volume_change_pct,price_change_pct,liquidity_ratio,liquidity_ratio_7d
Stacks,STX,3.0569710184979385e-05,0.886107634543179,0.5290269828291086,0.1310491676345334,0.0004213594550737,0.0016254774856594,2022-03-17,coin_gecko_2022-03-17.csv,0.0002874315270191108,0.035343880247061504,0.0004221373315489516,-0.7842407870090361,-0.11267605645578249,0.25922195711174006,0.40769273473212847
Humans.ai,HEART,1.0057825067017177e-06,0.8735919899874844,0.4766966475878985,0.0,1.5514705786851595e-05,0.0016022407008458,2022-03-17,coin_gecko_2022-03-17.csv,0.00025600037349198245,0.035343895530335935,0.000435873427106907,-0.9631794051372647,-0.9670987228660115,0.009683130492604265,0.36749919589407026
Celo,CELO,7.302764104745677e-05,0.8498122653316647,0.6876533115290269,0.116531165311653,0.0128850400180217,0.0015816614186206,2022-03-17,coin_gecko_2022-03-17.csv,0.00026296694010696857,0.03533979530729836,0.0004319240542261361,829.5049541410909,71.6077860380946,8.146522300113391,1.3939557216926148
Basic Attention Token,BAT,2.0650154620042292e-05,0.8836045056320401,0.5568274734260016,0.1546651180797522,0.0035829861016083,0.0015584175540165,2022-03-17,coin_gecko_2022-03-17.csv,9.719434388351742e-05,0.03532193155180623,0.00015427901335530162,-0.7219266609496792,-0.717228239556268,2.299118161479824,1.7202468000362725
Radix,XRD,3.123860423458532e-06,0.9061326658322904,0.5715453802125919,0.1223383662408052,3.828603061912359e-06,0.001542029943334,2022-03-17,coin_gecko_2022-03-17.csv,8.630694158831408e-05,0.035320345450478643,0.00015838384751792038,-0.9989314490892963,-0.8487245988741108,0.002482833150201087,1.7152347977925833
NEXO,NEXO,5.361830122460996e-05,0.8886107634543179,0.5396565821749794,0.1118854045683313,9.369225679201962e-05,0.0015131832093227,2022-03-17,coin_gecko_2022-03-17.csv,3.092100402241549e-05,0.03531750683452954,2.605704116177828e-05,23.47165592173482,16.164115535369316,0.06191732515585884,1.7110524264375793
Kusama,KSM,0.0032750834783216,0.8898623279098873,0.5805396565821749,0.1080139372822299,0.0012081781541467,0.0014763435696572,2022-03-17,coin_gecko_2022-03-17.csv,0.0004938684183327086,0.03530764850734453,0.0012266763599353863,11.895176138500362,60.081448004145045,0.8183583950091192,1.6567577289303912
Amp,AMP,6.095777280737153e-07,0.8785982478097623,0.5322976287816843,0.1016260162601625,0.000116585649524,0.0014708747343182,2022-03-17,coin_gecko_2022-03-17.csv,0.0004895883994102935,0.035307091307357964,0.0012286130197011736,-0.9035029319774939,-0.999813874140275,0.07926279975027334,1.6310492778787533
Chiliz,CHZ,4.931791904607154e-06,0.9036295369211514,0.5486508585445625,0.1105303910181958,0.0018660337568544,0.0013118957459088,2022-03-17,coin_gecko_2022-03-17.csv,0.0004901492578957085,0.03530725295829089,0.0012283536790353646,15.005689932449734,7.090505406409402,1.4223948531533102,1.832865238258854
Kadena,KDA,0.0001513928505822,0.8911138923654569,0.5306623058053965,0.0977545489740611,0.0008386107350023,0.0012939195392547,2022-03-17,coin_gecko_2022-03-17.csv,0.0005013442878292432,0.035312281644972306,0.0012242688106366226,-0.5505918733131826,29.697331418378106,0.6481166019684201,0.7616644242381438
Dash,DASH,0.0023511989027541,0.8836045056320401,0.5224856909239575,0.1024003097173828,0.0028550985291829,0.0012419484994096,2022-03-17,coin_gecko_2022-03-17.csv,0.0008342798232769658,0.035390522016059474,0.0013788870799486415,2.4045575736340528,14.53044872140443,2.298886411586441,0.7616313171105177
Frax Share,FXS,0.0004296742602922,0.8836045056320401,0.5200327064595257,0.105691056910569,5.410840896166964e-05,0.0012339343389202,2022-03-17,coin_gecko_2022-03-17.csv,0.000895215594686786,0.033723478080349936,0.0013450446538340818,-0.9810484967826469,-0.8172531214654375,0.04385031460346522,0.7675409573181268
Convex Finance,CVX,0.0004539359350708,0.8886107634543179,0.5478331970564185,0.1264034068912117,0.0003835757808114,0.0012206550475047,2022-03-17,coin_gecko_2022-03-17.csv,0.0009524038280933845,0.03361542466811117,0.0013113872425916412,6.089023465523165,0.05646527386141509,0.3142376559172202,0.8035867188554642
BitDAO,BIT,2.7658309211552368e-05,0.8848560700876096,0.5380212591986917,0.108207510646535,0.0007308072080564,0.0012187324359341,2022-03-17,coin_gecko_2022-03-17.csv,0.0004884859467919492,0.03361108182832581,0.0008438200749332195,0.9052485704662616,-0.9390700161086861,0.5996453253467988,0.7723419946179898
Pax Dollar,USDP,2.425075698890383e-05,0.8798498122653317,0.5282093213409648,0.1078203639179248,0.0012374066499408,0.0011980258772711,2022-03-17,coin_gecko_2022-03-17.csv,0.0004918632581149249,0.033580220614082355,0.0008415863027144967,0.6932053163948861,-0.12320175454634319,1.0328713873521687,0.908571792846832
Synthetix Network Token,SNX,0.0001086923029719,0.8823529411764707,0.5764513491414553,0.0963995354239256,0.0017250411209708,0.001153525004802,2022-03-17,coin_gecko_2022-03-17.csv,0.0005066861882673953,0.033583657527783826,0.0008324446651050641,0.39407778441576125,3.4820169127765057,1.4954518660537397,0.9190085089754648
GateToken,GT,0.0001533337845644,0.8760951188986233,0.5028618152085036,0.0983352690669763,0.0001173001057611,0.0011511986377012,2022-03-17,coin_gecko_2022-03-17.csv,0.0005069634645505668,0.03358876865245973,0.0008323069095387362,-0.9320015596526261,0.4107142858500392,0.10189388861277118,0.8409766927818006
Loopring,LRC,1.7357869614266684e-05,0.8798498122653317,0.5339329517579721,0.1016260162601625,0.0015954369782635,0.00106422159816,2022-03-17,coin_gecko_2022-03-17.csv,0.0001735576026734477,0.03356215799791291,0.00019008846884386874,12.60132599976386,-0.8867968356512038,1.4991586160457107,0.7267298648474105
NEM,XEM,2.373098118919655e-06,0.8848560700876096,0.5249386753883891,0.102787456445993,0.0002218708356073,0.0010503404343463,2022-03-17,coin_gecko_2022-03-17.csv,0.00011251457950583622,0.00047815204007525244,0.00016042983589517292,-0.8609341273706794,-0.8632840220801536,0.21123706976527634,0.7506422584419551
Mina Protocol,MINA,4.900858301668385e-05,0.8648310387984982,0.6246933769419459,0.1211769260549748,0.0022914568198622,0.0010128182997828,2022-03-17,coin_gecko_2022-03-17.csv,5.466781492667677e-05,0.00047967970877658414,5.5478412949582034e-05,9.32788655431019,19.651730590471683,2.262455980854222,1.0289591620043839
Curve DAO Token,CRV,5.167736724232528e-05,0.8785982478097623,0.5739983646770236,0.1058846302748741,0.002812632881247,0.000995367067198,2022-03-17,coin_gecko_2022-03-17.csv,5.80991089310729e-05,0.0003886741666822116,5.4258852962737985e-05,0.2274431081865822,0.05445544558456028,2.825724271915766,1.3469704400856648
Oasis Network,ROSE,5.533044728969391e-06,0.8836045056320401,0.5298446443172525,0.0989159891598915,0.0007993719637348,0.0009409376094016,2022-03-17,coin_gecko_2022-03-17.csv,5.542515003679656e-05,0.0003888585369876782,5.661502823501948e-05,-0.7157922852055996,-0.8929309865376102,0.8495483183451129,1.320781430227514
